line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
10_573_198_AM_d0_s493,Hollis,20.16657567024231,41.13972268779522,12,b,65.63,18
10_573_199_AM_d0_s492,Hollis North,34.796454191207886,253.28330206378988,12,b,10.66,18
10_573_200_AM_d0_s498,Hollis South,112.23681402206421,253.28330206378988,12,b,10.66,18
10_573_201_AM_d0_s490,Shellmound/Powell,32.54155480116606,41.13972268779522,12,b,65.63,18
10_573_202_AM_d0_s494,South Shellmound/Powell,128.15384930372238,235.191637630662,12,b,11.48,18
10_573_203_AM_d0_s496,North Shellmound,60.52890968322754,182.80297901150982,12,b,14.77,18
10_573_204_AM_d0_s499,Watergate Express,15.440621852874756,164.53382084095063,12,b,16.41,18
12_247_481_AM_d0_s1454,1,34.724510192871094,153.59609914668835,49,b,24.61,34
12_247_481_AM_d1_s1425,1,8.476267963647842,135.53244890641807,49,b,27.89,34
12_247_482_AM_d0_s1446,2,86.39667510986328,153.59609914668835,49,b,24.61,34
12_247_482_AM_d1_s1420,2,11.45975399017334,153.59609914668835,49,b,24.61,34
12_247_483_AM_d1_s1441,3,0,95.98781107160995,49,b,39.38,34
12_247_484_AM_d0_s1417,4,46.82620143890381,153.59609914668835,49,b,24.61,34
12_247_484_AM_d1_s1448,4,5.446229934692383,95.98781107160995,49,b,39.38,34
12_247_485_AM_d0_s1440,5,20.250869750976562,95.98781107160995,49,b,39.38,34
12_247_485_AM_d1_s1429,5,0,95.98781107160995,49,b,39.38,34
12_247_486_AM_d0_s1419,6,0,76.79804957334417,49,b,49.22,34
12_247_486_AM_d1_s1451,6,1.4210724830627441,57.59561176291331,49,b,65.63,34
12_247_487_AM_d0_s1453,7,72.64154052734375,270.9677419354839,49,b,13.95,34
12_247_487_AM_d1_s1418,7,24.529611587524414,153.59609914668835,49,b,24.61,34
12_247_488_AM_d0_s1423,15,0,38.399024786672086,49,b,98.44,34
12_247_489_AM_d0_s1432,17,0,38.399024786672086,49,b,98.44,34
12_247_490_AM_d0_s1443,78,77.87796640396118,135.53244890641807,91,x,27.89,35
12_247_490_AM_d1_s1426,78,68.90572805702686,95.98781107160995,91,x,39.38,35
12_247_491_AM_d0_s1421,80,208.10195541381836,255.92417061611374,91,x,14.77,35
12_247_491_AM_d1_s1435,80,68.5897216796875,270.9677419354839,91,x,13.95,35
12_247_492_AM_d0_s1449,85,57.73154258728027,1536.5853658536585,49,b,2.46,35
12_247_492_AM_d1_s1450,85,9.859999656677246,1536.5853658536585,49,b,2.46,35
12_247_493_AM_d0_s1455,8,6.7133331298828125,76.79804957334417,49,b,49.22,34
12_247_493_AM_d1_s1430,8,0,57.59561176291331,49,b,65.63,34
12_247_494_AM_d0_s1452,20,0,38.399024786672086,49,b,98.44,34
12_247_494_AM_d1_s1447,20,0,19.199512393336043,49,b,196.88,34
13_5_300_AM_d0_s789,nan,0,38.399024786672086,52,b,98.44,5
13_5_300_AM_d1_s787,nan,4.329999923706055,19.199512393336043,52,b,196.88,5
14_869_687_AM_d0_s2064,Route 2,8.166805267333984,76.79804957334417,56,b,49.22,48
14_869_688_AM_d0_s2066,Route 4,12.888333320617676,76.79804957334417,56,b,49.22,48
14_869_689_AM_d0_s2068,Route 5,4.083402633666992,38.399024786672086,56,b,98.44,48
14_869_689_AM_d1_s2067,Route 5,0.600696861743927,38.399024786672086,56,b,98.44,48
14_869_690_AM_d0_s2069,Route 6,6.124792575836182,57.59561176291331,56,b,65.63,48
14_869_690_AM_d1_s2070,Route 6,0,38.399024786672086,56,b,98.44,48
15__163_AM_d0_s422,Rossmoor/Shadelands,33.87669422477484,76.79804957334417,42,b,49.22,15
15__163_AM_d1_s423,Rossmoor/Shadelands,0,76.79804957334417,42,b,49.22,15
15__164_AM_d0_s424,BART WALNUT CREEK/JOHN MUIR MED CTR,0,76.79804957334417,42,b,49.22,15
15__164_AM_d1_s425,BART WALNUT CREEK/JOHN MUIR MED CTR,33.05300569534302,76.79804957334417,42,b,49.22,15
15__165_AM_d0_s426,Rudgear/BART Walnut Creek,0,38.399024786672086,42,b,98.44,15
15__165_AM_d1_s427,Rudgear/BART Walnut Creek,2.84928035736084,38.399024786672086,42,b,98.44,15
15__166_AM_d0_s428,DVC/BART Concord,12.376912713050842,177.21518987341773,42,b,21.33,15
15__166_AM_d1_s429,DVC/BART Concord,22.35267400741577,219.38479396401624,42,b,17.23,15
15__167_AM_d0_s430,BART Walnut Creek/San Ramon,21.337985306978226,135.53244890641807,42,b,27.89,15
15__167_AM_d1_s431,BART Walnut Creek/San Ramon,48.78962069749832,135.53244890641807,42,b,27.89,15
15__168_AM_d0_s432,BART Lafayette/BART Walnut Creek,21.648197412490845,57.59561176291331,42,b,65.63,15
15__168_AM_d1_s433,BART Lafayette/BART Walnut Creek,0.2828563153743744,38.399024786672086,42,b,98.44,15
15__169_AM_d0_s434,BART North Concord/Martinez,8.656210899353027,57.59561176291331,42,b,65.63,15
15__169_AM_d1_s435,BART North Concord/Martinez,37.68906021118164,57.59561176291331,42,b,65.63,15
15__170_AM_d0_s436,Martinez Community,0,57.59561176291331,42,b,65.63,15
15__171_AM_d0_s437,BART Concord/Clayton,15.474559307098389,153.59609914668835,42,b,24.61,15
15__171_AM_d1_s438,BART Concord/Clayton,1.4896959066390991,153.59609914668835,42,b,24.61,15
15__172_AM_d0_s439,BART Dublin/San Ramon,16.5513277053833,135.53244890641807,42,b,27.89,15
15__172_AM_d1_s440,BART Dublin/San Ramon,15.80052661895752,135.53244890641807,42,b,27.89,15
15__173_AM_d0_s441,San Ramon/BART Dublin,21.50949653983116,76.79804957334417,42,b,49.22,15
15__173_AM_d1_s442,San Ramon/BART Dublin,11.755225658416748,57.59561176291331,42,b,65.63,15
15__174_AM_d0_s443,Broadway Plaza/BART Walnut Creek,0,177.21518987341773,42,b,21.33,17
15__174_AM_d1_s444,Broadway Plaza/BART Walnut Creek,0,135.53244890641807,42,b,27.89,17
15__175_AM_d0_s445,Creekside/BART Walnut Creek,22.135011047124863,191.9756221432199,42,b,19.69,17
15__175_AM_d1_s446,Creekside/BART Walnut Creek,65.12584376335144,191.9756221432199,42,b,19.69,17
15__176_AM_d0_s447,Lafayette/Moraga/Orinda,33.32757991552353,76.79804957334417,42,b,49.22,15
15__176_AM_d1_s448,Lafayette/Moraga/Orinda,0,115.20877781164279,42,b,32.81,15
15__177_AM_d0_s449,BART Concord/BART Pleasant Hi,14.008845329284668,95.98781107160995,42,b,39.38,15
15__177_AM_d1_s450,BART Concord/BART Pleasant Hi,297.7768439054489,95.98781107160995,42,b,39.38,15
15__178_AM_d0_s451,Shadelands/BART PH,30.52971839904785,255.92417061611374,42,b,14.77,17
15__178_AM_d1_s452,Shadelands/BART PH,75.07100927829742,230.3473491773309,42,b,16.41,17
15__179_AM_d0_s453,DVC/BART Walnut Creek,161.45470571517944,76.79804957334417,42,b,49.22,15
15__179_AM_d1_s454,DVC/BART Walnut Creek,27.361101627349854,76.79804957334417,42,b,49.22,15
15__180_AM_d0_s455,Concord Commuter Express,6.903205886483192,95.98781107160995,86,x,39.38,16
15__181_AM_d0_s456,ACE Express,4.7663414478302,38.399024786672086,86,x,98.44,16
15__181_AM_d1_s457,ACE Express,0,57.59561176291331,86,x,65.63,16
15__182_AM_d1_s459,Kirker Pass Express,67.30770528316498,38.399024786672086,86,x,98.44,16
15__183_AM_d0_s460,San Ramon/BART Walnut Creek,1.652928352355957,76.79804957334417,86,x,49.22,16
15__183_AM_d1_s461,San Ramon/BART Walnut Creek,8.488993883132935,57.59561176291331,86,x,65.63,16
15__184_AM_d0_s462,BART Walnut Creek/Bishop Ranch,4.569285869598389,255.92417061611374,86,x,14.77,16
15__184_AM_d1_s463,BART Walnut Creek/Bishop Ranch,24.29466438293457,287.8903274942879,86,x,13.13,16
15__185_AM_d0_s464,BART Dublin/Bishop Ranch,0,115.20877781164279,86,x,32.81,16
15__185_AM_d1_s465,BART Dublin/Bishop Ranch,0.3200162351131439,115.20877781164279,86,x,32.81,16
15__186_AM_d0_s466,Martinez/BART Walnut Creek,112.1936205625534,95.98781107160995,86,x,39.38,16
15__186_AM_d1_s467,Martinez/BART Walnut Creek,3.9780049324035645,95.98781107160995,86,x,39.38,16
15__187_AM_d0_s468,Monument Blvd,350.5598142147064,115.20877781164279,42,b,32.81,15
15__187_AM_d1_s469,Monument Blvd,23.62669801712036,115.20877781164279,42,b,32.81,15
15__188_AM_d0_s470,Treat Blvd,7.437471337616444,57.59561176291331,42,b,65.63,15
15__188_AM_d1_s471,Treat Blvd,378.3523794412613,95.98781107160995,42,b,39.38,15
15__189_AM_d0_s472,AMTRAK/BART Concord,16.6000919342041,115.20877781164279,42,b,32.81,15
15__189_AM_d1_s473,AMTRAK/BART Concord,32.20980376005173,115.20877781164279,42,b,32.81,15
15__190_AM_d0_s474,BART Concord/North Concord,1.7664746344089508,115.20877781164279,42,b,32.81,15
15__190_AM_d1_s475,BART Concord/North Concord,119.69657480716705,95.98781107160995,42,b,39.38,15
15__191_AM_d0_s476,AMTRAK/BART Pleasant Hill,49.694667994976044,57.59561176291331,42,b,65.63,15
15__191_AM_d1_s477,AMTRAK/BART Pleasant Hill,5.5166696310043335,57.59561176291331,42,b,65.63,15
15__192_AM_d0_s478,AMTRAK/BART Concord,5.797910701483488,38.399024786672086,42,b,98.44,15
15__192_AM_d1_s479,AMTRAK/BART Concord,1.9054262340068817,38.399024786672086,42,b,98.44,15
