line_name,description,total_boarding,tm2_mode,line_mode,headway,fare_system,vehicle_mode
pnr_San Bruno_Caltrain_egr_PM,San Bruno_Caltrain,356.8509216308594,11,d,1.0,99,d
pnr_San Carlos_Caltrain_acc_PM,San Carlos_Caltrain,11.256336212158203,11,A,1.0,98,A
pnr_San Carlos_Caltrain_egr_PM,San Carlos_Caltrain,183.16973876953125,11,d,1.0,99,d
pnr_San Jose Diridon_ACE_acc_PM,San Jose Diridon_ACE,65.31917572021484,11,d,1.0,99,d
pnr_San Jose Diridon_ACE_egr_PM,San Jose Diridon_ACE,11.928741455078125,11,d,1.0,99,d
pnr_San Jose Diridon_Caltrain_acc_PM,San Jose Diridon_Caltrain,0,11,A,1.0,98,A
pnr_San Jose Diridon_Caltrain_egr_PM,San Jose Diridon_Caltrain,11.928741455078125,11,d,1.0,99,d
pnr_San Jose Diridon_Capitol_acc_PM,San Jose Diridon_Capitol,18.699932098388672,11,d,1.0,99,d
pnr_San Jose Diridon_Capitol_egr_PM,San Jose Diridon_Capitol,11.928741455078125,11,d,1.0,99,d
pnr_San Jose Diridon_SCVTA LRT_acc_PM,San Jose Diridon_SCVTA LRT,46.557701110839844,11,d,1.0,99,d
pnr_San Jose Diridon_SCVTA LRT_egr_PM,San Jose Diridon_SCVTA LRT,830.3048706054688,11,d,1.0,99,d
pnr_San Leandro_BART_acc_PM,San Leandro_BART,7.302082061767578,11,y,1.0,96,y
pnr_San Leandro_BART_egr_PM,San Leandro_BART,1137.6700439453125,11,d,1.0,99,d
pnr_San Martin_Caltrain_acc_PM,San Martin_Caltrain,0,11,A,1.0,98,A
pnr_San Martin_Caltrain_egr_PM,San Martin_Caltrain,32.22170639038086,11,d,1.0,99,d
pnr_San Mateo_Caltrain_acc_PM,San Mateo_Caltrain,0,11,A,2.0,98,A
pnr_San Mateo_Caltrain_egr_PM,San Mateo_Caltrain,144.24655151367188,11,d,2.0,99,d
pnr_Santa Clara Uni_Capitol_acc_PM,Santa Clara Uni_Capitol,119.15239715576172,11,d,1.0,99,d
pnr_Santa Clara Uni_Capitol_egr_PM,Santa Clara Uni_Capitol,200.48829650878906,11,d,1.0,99,d
pnr_Santa Clara_ACE_acc_PM,Santa Clara_ACE,381.44500732421875,11,d,1.0,99,d
pnr_Santa Clara_ACE_egr_PM,Santa Clara_ACE,65.101318359375,11,d,1.0,99,d
pnr_Santa Clara_Caltrain_acc_PM,Santa Clara_Caltrain,0,11,A,1.0,98,A
pnr_Santa Clara_Caltrain_egr_PM,Santa Clara_Caltrain,65.101318359375,11,d,1.0,99,d
pnr_Santa Teresa_SCVTA LRT_acc_PM,Santa Teresa_SCVTA LRT,19.169700622558594,11,d,2.0,99,d
pnr_Santa Teresa_SCVTA LRT_egr_PM,Santa Teresa_SCVTA LRT,18.82080078125,11,d,2.0,99,d
pnr_Sausilito_Golden Gate Ferry_acc_PM,Sausilito_Golden Gate Ferry,36.531063079833984,11,d,1.0,99,d
pnr_Sausilito_Golden Gate Ferry_egr_PM,Sausilito_Golden Gate Ferry,247.09498596191406,11,d,1.0,99,d
pnr_Snell_SCVTA LRT_acc_PM,Snell_SCVTA LRT,0,11,d,1.0,99,d
pnr_Snell_SCVTA LRT_egr_PM,Snell_SCVTA LRT,111.02076721191406,11,d,1.0,99,d
pnr_South Hayward_BART_acc_PM,South Hayward_BART,62.10113525390625,11,y,1.0,96,y
pnr_South Hayward_BART_egr_PM,South Hayward_BART,607.873046875,11,d,1.0,99,d
pnr_South San Francisco_BART_acc_PM,South San Francisco_BART,21.954193115234375,11,y,1.0,96,y
pnr_South San Francisco_BART_egr_PM,South San Francisco_BART,93.63726043701172,11,d,1.0,99,d
pnr_South San Francisco_Caltrain_acc_PM,South San Francisco_Caltrain,0,11,A,2.0,98,A
pnr_South San Francisco_Caltrain_egr_PM,South San Francisco_Caltrain,7.07455587387085,11,d,2.0,99,d
pnr_South San Francisco_SF Ferry_acc_PM,South San Francisco_SF Ferry,0,11,d,1.0,99,d
pnr_South San Francisco_SF Ferry_egr_PM,South San Francisco_SF Ferry,0,11,d,1.0,99,d
pnr_Suisun-Fairfield_Capitol_acc_PM,Suisun-Fairfield_Capitol,2.586688280105591,11,d,1.0,99,d
pnr_Suisun-Fairfield_Capitol_egr_PM,Suisun-Fairfield_Capitol,148.41407775878906,11,d,1.0,99,d
pnr_Sunnyvale_Caltrain_acc_PM,Sunnyvale_Caltrain,0,11,A,1.0,98,A
pnr_Sunnyvale_Caltrain_egr_PM,Sunnyvale_Caltrain,352.4328918457031,11,d,1.0,99,d
pnr_Tamien_Caltrain_acc_PM,Tamien_Caltrain,0,11,A,2.0,98,A
pnr_Tamien_Caltrain_egr_PM,Tamien_Caltrain,8.599522590637207,11,d,2.0,99,d
pnr_Tamien_SCVTA LRT_acc_PM,Tamien_SCVTA LRT,9.461099624633789,11,d,1.0,99,d
pnr_Tamien_SCVTA LRT_egr_PM,Tamien_SCVTA LRT,0,11,d,1.0,99,d
pnr_Union City_BART_acc_PM,Union City_BART,187.519775390625,11,y,1.0,96,y
pnr_Union City_BART_egr_PM,Union City_BART,1285.476806640625,11,d,1.0,99,d
pnr_Vallejo Terminal_SF Ferry_acc_PM,Vallejo Terminal_SF Ferry,71.933349609375,11,d,1.0,99,d
