survey_route,survey_agency,survey_tech,standard_route_id,standard_line_name,BART_line_name,MTC_line_name,standard_operator,standard_headsign,standard_agency,standard_route_short_name,standard_route_long_name,canonical_operator
50,Rio Vista Delta Breeze,LOCAL,300,13_5_300_MD_d1_s787,13_5_300_MD_d1_s787,13_300_MD_d1_s787,Rio Vista Delta Breeze,Eastbound,RioVista_2015_8_20,50,NA,Rio Vista Delta Breeze
50,Rio Vista Delta Breeze,LOCAL,300,13_5_300_AM_d1_s787,13_5_300_AM_d1_s787,13_300_AM_d1_s787,Rio Vista Delta Breeze,Eastbound,RioVista_2015_8_20,50,NA,Rio Vista Delta Breeze
50,Rio Vista Delta Breeze,LOCAL,300,13_5_300_AM_d0_s789,13_5_300_AM_d0_s789,13_300_AM_d0_s789,Rio Vista Delta Breeze,Westbound,RioVista_2015_8_20,50,NA,Rio Vista Delta Breeze
50,Rio Vista Delta Breeze,LOCAL,300,13_5_300_PM_d0_s790,13_5_300_PM_d0_s790,13_300_PM_d0_s790,Rio Vista Delta Breeze,Westbound,RioVista_2015_8_20,50,NA,Rio Vista Delta Breeze
50,Rio Vista Delta Breeze,LOCAL,300,13_5_300_PM_d1_s787,13_5_300_PM_d1_s787,13_300_PM_d1_s787,Rio Vista Delta Breeze,Eastbound,RioVista_2015_8_20,50,NA,Rio Vista Delta Breeze
50,Rio Vista Delta Breeze,LOCAL,300,13_5_300_MD_d0_s789,13_5_300_MD_d0_s789,13_300_MD_d0_s789,Rio Vista Delta Breeze,Westbound,RioVista_2015_8_20,50,NA,Rio Vista Delta Breeze
52,Rio Vista Delta Breeze,LOCAL,301,13_5_301_EA_d0_s786,13_5_301_EA_d0_s786,13_301_EA_d0_s786,Rio Vista Delta Breeze,Southbound,RioVista_2015_8_20,52,NA,Rio Vista Delta Breeze
52,Rio Vista Delta Breeze,LOCAL,301,13_5_301_PM_d1_s788,13_5_301_PM_d1_s788,13_301_PM_d1_s788,Rio Vista Delta Breeze,Northbound,RioVista_2015_8_20,52,NA,Rio Vista Delta Breeze
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_AM_d0_s537,28_36_213_AM_d0_s537,28_213_AM_d0_s537,Fairfield and Suisun Transit,1 N WALMART,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_MD_d0_s537,28_36_213_MD_d0_s537,28_213_MD_d0_s537,Fairfield and Suisun Transit,1 N WALMART,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_PM_d0_s537,28_36_213_PM_d0_s537,28_213_PM_d0_s537,Fairfield and Suisun Transit,1 N WALMART,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_EV_d0_s537,28_36_213_EV_d0_s537,28_213_EV_d0_s537,Fairfield and Suisun Transit,1 N WALMART,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_AM_d1_s536,28_36_213_AM_d1_s536,28_213_AM_d1_s536,Fairfield and Suisun Transit,1 S FTC,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_MD_d1_s536,28_36_213_MD_d1_s536,28_213_MD_d1_s536,Fairfield and Suisun Transit,1 S FTC,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_PM_d1_s536,28_36_213_PM_d1_s536,28_213_PM_d1_s536,Fairfield and Suisun Transit,1 S FTC,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___1 Fairfield Transit Center Walmart,Fairfield and Suisun Transit (FAST),LOCAL,213,28_36_213_EV_d1_s536,28_36_213_EV_d1_s536,28_213_EV_d1_s536,Fairfield and Suisun Transit,1 S FTC,Fairfield_2015_10_14,1,FTC/Walmart,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_AM_d0_s534,28_36_214_AM_d0_s534,28_214_AM_d0_s534,Fairfield and Suisun Transit,2 W SOLANO TOWN CTR,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_MD_d0_s534,28_36_214_MD_d0_s534,28_214_MD_d0_s534,Fairfield and Suisun Transit,2 W SOLANO TOWN CTR,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_PM_d0_s534,28_36_214_PM_d0_s534,28_214_PM_d0_s534,Fairfield and Suisun Transit,2 W SOLANO TOWN CTR,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_EV_d0_s534,28_36_214_EV_d0_s534,28_214_EV_d0_s534,Fairfield and Suisun Transit,2 W SOLANO TOWN CTR,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_AM_d1_s535,28_36_214_AM_d1_s535,28_214_AM_d1_s535,Fairfield and Suisun Transit,2 E HUNTINGTON CT,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_MD_d1_s535,28_36_214_MD_d1_s535,28_214_MD_d1_s535,Fairfield and Suisun Transit,2 E HUNTINGTON CT,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_PM_d1_s535,28_36_214_PM_d1_s535,28_214_PM_d1_s535,Fairfield and Suisun Transit,2 E HUNTINGTON CT,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___2 To Travis AFB,Fairfield and Suisun Transit (FAST),LOCAL,214,28_36_214_EV_d1_s535,28_36_214_EV_d1_s535,28_214_EV_d1_s535,Fairfield and Suisun Transit,2 E HUNTINGTON CT,Fairfield_2015_10_14,2,Solano Town Ctr/Huntington Ct,Fairfield and Suisun Transit
FAST___20 Fairfield Vacaville,Fairfield and Suisun Transit (FAST),LOCAL,206,28_36_206_AM_d0_s517,28_36_206_AM_d0_s517,28_206_AM_d0_s517,Fairfield and Suisun Transit,Fairfield/Vacaville,Fairfield_2015_10_14,20,Fairfield/Vacaville,Fairfield and Suisun Transit
FAST___20 Fairfield Vacaville,Fairfield and Suisun Transit (FAST),LOCAL,206,28_36_206_MD_d0_s517,28_36_206_MD_d0_s517,28_206_MD_d0_s517,Fairfield and Suisun Transit,Fairfield/Vacaville,Fairfield_2015_10_14,20,Fairfield/Vacaville,Fairfield and Suisun Transit
FAST___20 Fairfield Vacaville,Fairfield and Suisun Transit (FAST),LOCAL,206,28_36_206_PM_d0_s517,28_36_206_PM_d0_s517,28_206_PM_d0_s517,Fairfield and Suisun Transit,Fairfield/Vacaville,Fairfield_2015_10_14,20,Fairfield/Vacaville,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_AM_d1_s532,28_36_215_AM_d1_s532,28_215_AM_d1_s532,Fairfield and Suisun Transit,3 S FTC,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_MD_d1_s532,28_36_215_MD_d1_s532,28_215_MD_d1_s532,Fairfield and Suisun Transit,3 S FTC,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_PM_d1_s532,28_36_215_PM_d1_s532,28_215_PM_d1_s532,Fairfield and Suisun Transit,3 S FTC,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_EV_d1_s532,28_36_215_EV_d1_s532,28_215_EV_d1_s532,Fairfield and Suisun Transit,3 S FTC,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_AM_d0_s533,28_36_215_AM_d0_s533,28_215_AM_d0_s533,Fairfield and Suisun Transit,3 N WALMART,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_MD_d0_s533,28_36_215_MD_d0_s533,28_215_MD_d0_s533,Fairfield and Suisun Transit,3 N WALMART,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_PM_d0_s533,28_36_215_PM_d0_s533,28_215_PM_d0_s533,Fairfield and Suisun Transit,3 N WALMART,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___3 Outer Fairfield,Fairfield and Suisun Transit (FAST),LOCAL,215,28_36_215_EV_d0_s533,28_36_215_EV_d0_s533,28_215_EV_d0_s533,Fairfield and Suisun Transit,3 N WALMART,Fairfield_2015_10_14,3,FTC/Solano Town Center/Walmart,Fairfield and Suisun Transit
FAST___30 Fairfield Davis Sacramento,Fairfield and Suisun Transit (FAST),LOCAL,205,28_36_205_MD_d1_s510,28_36_205_MD_d1_s510,28_205_MD_d1_s510,Fairfield and Suisun Transit,Fairfield to Davis/Sacramento,Fairfield_2015_10_14,30,Sacramento/Davis/Fairfield,Fairfield and Suisun Transit
FAST___30 Fairfield Davis Sacramento,Fairfield and Suisun Transit (FAST),LOCAL,205,28_36_205_AM_d1_s513,28_36_205_AM_d1_s513,28_205_AM_d1_s513,Fairfield and Suisun Transit,Fairfield to Davis/Sacramento,Fairfield_2015_10_14,30,Sacramento/Davis/Fairfield,Fairfield and Suisun Transit
