survey_route,survey_agency,survey_tech,standard_route_id,standard_line_name,BART_line_name,MTC_line_name,standard_operator,standard_headsign,standard_agency,standard_route_short_name,standard_route_long_name,canonical_operator
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_AM_d0_s529,28_36_216_AM_d0_s529,28_216_AM_d0_s529,Fairfield and Suisun Transit,4 W KMART,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_MD_d0_s529,28_36_216_MD_d0_s529,28_216_MD_d0_s529,Fairfield and Suisun Transit,4 W KMART,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_PM_d0_s529,28_36_216_PM_d0_s529,28_216_PM_d0_s529,Fairfield and Suisun Transit,4 W KMART,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_EV_d0_s529,28_36_216_EV_d0_s529,28_216_EV_d0_s529,Fairfield and Suisun Transit,4 W KMART,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_AM_d1_s530,28_36_216_AM_d1_s530,28_216_AM_d1_s530,Fairfield and Suisun Transit,4 E DAVID GRANT,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_MD_d1_s530,28_36_216_MD_d1_s530,28_216_MD_d1_s530,Fairfield and Suisun Transit,4 E DAVID GRANT,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_PM_d1_s530,28_36_216_PM_d1_s530,28_216_PM_d1_s530,Fairfield and Suisun Transit,4 E DAVID GRANT,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___4,Fairfield and Suisun Transit (FAST),LOCAL,216,28_36_216_EV_d1_s530,28_36_216_EV_d1_s530,28_216_EV_d1_s530,Fairfield and Suisun Transit,4 E DAVID GRANT,Fairfield_2015_10_14,4,KMart/Travis Air Force Base,Fairfield and Suisun Transit
FAST___40 Vacaville Walnut Creek BART,Fairfield and Suisun Transit (FAST),LOCAL,207,28_36_207_AM_d0_s538,28_36_207_AM_d0_s538,28_207_AM_d0_s538,Fairfield and Suisun Transit,Westbound to Walnut Creek BART,Fairfield_2015_10_14,40,WC/PH BART - Vacaville/Fairfield,Fairfield and Suisun Transit
FAST___40 Vacaville Walnut Creek BART,Fairfield and Suisun Transit (FAST),LOCAL,207,28_36_207_PM_d1_s540,28_36_207_PM_d1_s540,28_207_PM_d1_s540,Fairfield and Suisun Transit,Eastbound to Vacaville/Fairfield,Fairfield_2015_10_14,40,WC/PH BART - Vacaville/Fairfield,Fairfield and Suisun Transit
FAST___40 Vacaville Walnut Creek BART,Fairfield and Suisun Transit (FAST),LOCAL,207,28_36_207_EA_d0_s538,28_36_207_EA_d0_s538,28_207_EA_d0_s538,Fairfield and Suisun Transit,Westbound to Walnut Creek BART,Fairfield_2015_10_14,40,WC/PH BART - Vacaville/Fairfield,Fairfield and Suisun Transit
FAST___40 Vacaville Walnut Creek BART,Fairfield and Suisun Transit (FAST),LOCAL,207,28_36_207_PM_d0_s505,28_36_207_PM_d0_s505,28_207_PM_d0_s505,Fairfield and Suisun Transit,Westbound to Walnut Creek BART,Fairfield_2015_10_14,40,WC/PH BART - Vacaville/Fairfield,Fairfield and Suisun Transit
FAST___40 Vacaville Walnut Creek BART,Fairfield and Suisun Transit (FAST),LOCAL,207,28_36_207_AM_d1_s508,28_36_207_AM_d1_s508,28_207_AM_d1_s508,Fairfield and Suisun Transit,Eastbound to Vacaville/Fairfield,Fairfield_2015_10_14,40,WC/PH BART - Vacaville/Fairfield,Fairfield and Suisun Transit
FAST___40 Vacaville Walnut Creek BART,Fairfield and Suisun Transit (FAST),LOCAL,207,28_36_207_EV_d1_s540,28_36_207_EV_d1_s540,28_207_EV_d1_s540,Fairfield and Suisun Transit,Eastbound to Vacaville/Fairfield,Fairfield_2015_10_14,40,WC/PH BART - Vacaville/Fairfield,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_AM_d1_s518,28_36_217_AM_d1_s518,28_217_AM_d1_s518,Fairfield and Suisun Transit,5 E SUISUN SENIOR CENTER,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_MD_d1_s518,28_36_217_MD_d1_s518,28_217_MD_d1_s518,Fairfield and Suisun Transit,5 E SUISUN SENIOR CENTER,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_PM_d1_s518,28_36_217_PM_d1_s518,28_217_PM_d1_s518,Fairfield and Suisun Transit,5 E SUISUN SENIOR CENTER,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_EV_d1_s518,28_36_217_EV_d1_s518,28_217_EV_d1_s518,Fairfield and Suisun Transit,5 E SUISUN SENIOR CENTER,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_AM_d0_s519,28_36_217_AM_d0_s519,28_217_AM_d0_s519,Fairfield and Suisun Transit,5 W FTC,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_MD_d0_s519,28_36_217_MD_d0_s519,28_217_MD_d0_s519,Fairfield and Suisun Transit,5 W FTC,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_PM_d0_s519,28_36_217_PM_d0_s519,28_217_PM_d0_s519,Fairfield and Suisun Transit,5 W FTC,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___5 Suisun City West,Fairfield and Suisun Transit (FAST),LOCAL,217,28_36_217_EV_d0_s519,28_36_217_EV_d0_s519,28_217_EV_d0_s519,Fairfield and Suisun Transit,5 W FTC,Fairfield_2015_10_14,5,FTC/Suisun Senior Center,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_AM_d0_s527,28_36_218_AM_d0_s527,28_218_AM_d0_s527,Fairfield and Suisun Transit,6 W SOLANO MALL,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_MD_d0_s527,28_36_218_MD_d0_s527,28_218_MD_d0_s527,Fairfield and Suisun Transit,6 W SOLANO MALL,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_PM_d0_s527,28_36_218_PM_d0_s527,28_218_PM_d0_s527,Fairfield and Suisun Transit,6 W SOLANO MALL,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_EV_d0_s527,28_36_218_EV_d0_s527,28_218_EV_d0_s527,Fairfield and Suisun Transit,6 W SOLANO MALL,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_AM_d1_s528,28_36_218_AM_d1_s528,28_218_AM_d1_s528,Fairfield and Suisun Transit,6 E MONTEBELLO DR,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_MD_d1_s528,28_36_218_MD_d1_s528,28_218_MD_d1_s528,Fairfield and Suisun Transit,6 E MONTEBELLO DR,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_PM_d1_s528,28_36_218_PM_d1_s528,28_218_PM_d1_s528,Fairfield and Suisun Transit,6 E MONTEBELLO DR,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___6,Fairfield and Suisun Transit (FAST),LOCAL,218,28_36_218_EV_d1_s528,28_36_218_EV_d1_s528,28_218_EV_d1_s528,Fairfield and Suisun Transit,6 E MONTEBELLO DR,Fairfield_2015_10_14,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,Fairfield and Suisun Transit
FAST___7,Fairfield and Suisun Transit (FAST),LOCAL,219,28_36_219_AM_d0_s525,28_36_219_AM_d0_s525,28_219_AM_d0_s525,Fairfield and Suisun Transit,7 N FTC,Fairfield_2015_10_14,7,FTC/Cordelia Library,Fairfield and Suisun Transit
FAST___7,Fairfield and Suisun Transit (FAST),LOCAL,219,28_36_219_MD_d0_s525,28_36_219_MD_d0_s525,28_219_MD_d0_s525,Fairfield and Suisun Transit,7 N FTC,Fairfield_2015_10_14,7,FTC/Cordelia Library,Fairfield and Suisun Transit
FAST___7,Fairfield and Suisun Transit (FAST),LOCAL,219,28_36_219_PM_d0_s525,28_36_219_PM_d0_s525,28_219_PM_d0_s525,Fairfield and Suisun Transit,7 N FTC,Fairfield_2015_10_14,7,FTC/Cordelia Library,Fairfield and Suisun Transit
FAST___7,Fairfield and Suisun Transit (FAST),LOCAL,219,28_36_219_AM_d1_s526,28_36_219_AM_d1_s526,28_219_AM_d1_s526,Fairfield and Suisun Transit,7 S CORDELIA LIBRARY,Fairfield_2015_10_14,7,FTC/Cordelia Library,Fairfield and Suisun Transit
FAST___7,Fairfield and Suisun Transit (FAST),LOCAL,219,28_36_219_MD_d1_s526,28_36_219_MD_d1_s526,28_219_MD_d1_s526,Fairfield and Suisun Transit,7 S CORDELIA LIBRARY,Fairfield_2015_10_14,7,FTC/Cordelia Library,Fairfield and Suisun Transit
FAST___7,Fairfield and Suisun Transit (FAST),LOCAL,219,28_36_219_PM_d1_s526,28_36_219_PM_d1_s526,28_219_PM_d1_s526,Fairfield and Suisun Transit,7 S CORDELIA LIBRARY,Fairfield_2015_10_14,7,FTC/Cordelia Library,Fairfield and Suisun Transit
FAST___8,Fairfield and Suisun Transit (FAST),LOCAL,220,28_36_220_AM_d0_s523,28_36_220_AM_d0_s523,28_220_AM_d0_s523,Fairfield and Suisun Transit,8N CORDELIA LIBRARY,Fairfield_2015_10_14,8,Cordelia Library/Oakbrook Dr,Fairfield and Suisun Transit
FAST___8,Fairfield and Suisun Transit (FAST),LOCAL,220,28_36_220_MD_d0_s523,28_36_220_MD_d0_s523,28_220_MD_d0_s523,Fairfield and Suisun Transit,8N CORDELIA LIBRARY,Fairfield_2015_10_14,8,Cordelia Library/Oakbrook Dr,Fairfield and Suisun Transit
FAST___8,Fairfield and Suisun Transit (FAST),LOCAL,220,28_36_220_PM_d0_s523,28_36_220_PM_d0_s523,28_220_PM_d0_s523,Fairfield and Suisun Transit,8N CORDELIA LIBRARY,Fairfield_2015_10_14,8,Cordelia Library/Oakbrook Dr,Fairfield and Suisun Transit
FAST___8,Fairfield and Suisun Transit (FAST),LOCAL,220,28_36_220_EV_d0_s523,28_36_220_EV_d0_s523,28_220_EV_d0_s523,Fairfield and Suisun Transit,8N CORDELIA LIBRARY,Fairfield_2015_10_14,8,Cordelia Library/Oakbrook Dr,Fairfield and Suisun Transit
FAST___8,Fairfield and Suisun Transit (FAST),LOCAL,220,28_36_220_AM_d1_s524,28_36_220_AM_d1_s524,28_220_AM_d1_s524,Fairfield and Suisun Transit,8S OAKBROOK DR,Fairfield_2015_10_14,8,Cordelia Library/Oakbrook Dr,Fairfield and Suisun Transit
FAST___8,Fairfield and Suisun Transit (FAST),LOCAL,220,28_36_220_MD_d1_s524,28_36_220_MD_d1_s524,28_220_MD_d1_s524,Fairfield and Suisun Transit,8S OAKBROOK DR,Fairfield_2015_10_14,8,Cordelia Library/Oakbrook Dr,Fairfield and Suisun Transit
FAST___8,Fairfield and Suisun Transit (FAST),LOCAL,220,28_36_220_PM_d1_s524,28_36_220_PM_d1_s524,28_220_PM_d1_s524,Fairfield and Suisun Transit,8S OAKBROOK DR,Fairfield_2015_10_14,8,Cordelia Library/Oakbrook Dr,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_AM_d1_s520,28_36_209_AM_d1_s520,28_209_AM_d1_s520,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_MD_d1_s520,28_36_209_MD_d1_s520,28_209_MD_d1_s520,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_PM_d1_s520,28_36_209_PM_d1_s520,28_209_PM_d1_s520,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_EV_d1_s520,28_36_209_EV_d1_s520,28_209_EV_d1_s520,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_AM_d0_s522,28_36_209_AM_d0_s522,28_209_AM_d0_s522,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_MD_d0_s522,28_36_209_MD_d0_s522,28_209_MD_d0_s522,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_PM_d0_s522,28_36_209_PM_d0_s522,28_209_PM_d0_s522,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___9,Fairfield and Suisun Transit (FAST),LOCAL,209,28_36_209_EV_d0_s522,28_36_209_EV_d0_s522,28_209_EV_d0_s522,Fairfield and Suisun Transit,NA,Fairfield_2015_10_14,9,Suisun Senior Center/Suisun City Walmart,Fairfield and Suisun Transit
FAST___90 Fairfield El Cerrito Del Norte BART,Fairfield and Suisun Transit (FAST),EXPRESS,208,28_36_208_AM_d0_s512,28_36_208_AM_d0_s512,28_208_AM_d0_s512,Fairfield and Suisun Transit,El Cerrito Del Norte BART,Fairfield_2015_10_14,90,FTC/El Cerrito Del Norte BART/Suisun City Amtrak,Fairfield and Suisun Transit
FAST___90 Fairfield El Cerrito Del Norte BART,Fairfield and Suisun Transit (FAST),EXPRESS,208,28_36_208_EA_d0_s512,28_36_208_EA_d0_s512,28_208_EA_d0_s512,Fairfield and Suisun Transit,El Cerrito Del Norte BART,Fairfield_2015_10_14,90,FTC/El Cerrito Del Norte BART/Suisun City Amtrak,Fairfield and Suisun Transit
FAST___90 Fairfield El Cerrito Del Norte BART,Fairfield and Suisun Transit (FAST),EXPRESS,208,28_36_208_PM_d0_s512,28_36_208_PM_d0_s512,28_208_PM_d0_s512,Fairfield and Suisun Transit,El Cerrito Del Norte BART,Fairfield_2015_10_14,90,FTC/El Cerrito Del Norte BART/Suisun City Amtrak,Fairfield and Suisun Transit
FAST___90 Fairfield El Cerrito Del Norte BART,Fairfield and Suisun Transit (FAST),EXPRESS,208,28_36_208_EA_d1_s539,28_36_208_EA_d1_s539,28_208_EA_d1_s539,Fairfield and Suisun Transit,FTC,Fairfield_2015_10_14,90,FTC/El Cerrito Del Norte BART/Suisun City Amtrak,Fairfield and Suisun Transit
