station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
406289,4,101,N,ML,38.248482,-122.630637,2.97884833146868e-05,1,bc2a38201520b4a7f1161430478ce043,4537152,4541424,7050303,4537152_4541424
406296,4,101,N,FR,37.652884,-122.406867,0.0006035634855206,1,0ea276a00997f1ff4522759aaa6b1e11,1504271,1523944,1004289,1504271_1523944
406297,4,101,N,FR,37.646673,-122.406289,0.001001740563868,1,92000c9c590dd5f1efcd3d775660f516,1534543,1544772,1043019,1534543_1544772
406302,4,101,S,ML,38.246274,-122.62679,1.78682864324101e-05,2,bcf67cadf176170183fa33bac81269f2,4537264,4515691,7050529,4537264_4515691
406303,4,101,S,FR,38.247376,-122.628888,0.0007228151733572,1,bcf67cadf176170183fa33bac81269f2,4537264,4515691,7050529,4537264_4515691
406304,4,101,S,OR,38.246274,-122.62679,0.0001206838945561,1,bcf67cadf176170183fa33bac81269f2,4537264,4515691,7050529,4537264_4515691
406305,4,101,S,ML,38.248385,-122.630829,2.63308352647061e-05,1,d6dbd52b911460e37a5797f2c37d23bc,4540127,4537264,7057548,4540127_4537264
406311,4,101,S,FR,37.649704,-122.4068,0.0002208972048414,1,9a1823c86f8cf502742c8f79396d21e4,1513789,1528795,1045416,1513789_1528795
406327,4,580,E,FR,37.701171,-121.921149,0.0002032288161997,2,3483f6d1f2c3736c34f130b45d8c913b,2532913,2592939,3034980,2532913_2592939
406553,4,101,N,ML,38.285021,-122.68666,1.02840141862678e-05,1,901498e08ef911340361bc20dabbae61,4530980,4525403,7038372,4530980_4525403
406562,4,101,N,ML,38.346811,-122.712889,3.45778644803745e-05,1,02b0be7186de823a19b1bbd0ae45ddec,4500775,4500852,7000765,4500775_4500852
406575,4,101,S,ML,38.284547,-122.686388,2.37256818055962e-06,1,166e2d09b352b9385543dc5965f1d044,4506025,4500741,7006093,4506025_4500741
406576,4,101,S,OR,38.284547,-122.686388,0.0003008175474646,1,166e2d09b352b9385543dc5965f1d044,4506025,4500741,7006093,4506025_4500741
406581,4,101,S,OR,38.346899,-122.713127,0.0006389375325481,1,e1287d67a02ac9d545721884aa23d15a,4541049,4539388,7060297,4541049_4539388
406603,4,580,E,FR,37.693221,-122.060057,0.0011641934927208,1,49b122ec29e1ce70823b46351504b796,2517179,2603815,3049065,2517179_2603815
