station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
407280,4,80,W,OR,38.052228,-122.228257,0.0003988855863471,1,7e7c2bd15e83faee157c20cd8bb37c84,3048076,3054918,4062899,3048076_3054918
407281,4,80,W,FR,37.866963,-122.303994,0.0001407955394769,1,3fe69a55506d7a078c327d075af084c8,2539284,2571990,3042551,2539284_2571990
407282,4,80,W,OR,37.909536,-122.316706,0.0001991193361567,1,5bcbb4a6b2d8ddf5801c4ed88e077613,3040369,3040525,4045624,3040369_3040525
407283,4,80,W,FR,37.91248,-122.317515,0.0002108159899104,1,5bcbb4a6b2d8ddf5801c4ed88e077613,3040369,3040525,4045624,3040369_3040525
407284,4,80,W,FR,37.937368,-122.326196,0.0005267578735062,1,613afe87ee6b14b7235fcecbd1c4ae2a,3042458,3052344,4048465,3042458_3052344
407286,4,80,W,OR,37.984399,-122.316033,0.0001743274513137,2,08b3fc209af528c0aceaa74d61934006,3004397,3057650,4004322,3004397_3057650
407287,4,80,W,FR,37.985094,-122.315756,0.0045156836081367,1,08b3fc209af528c0aceaa74d61934006,3004397,3057650,4004322,3004397_3057650
407288,4,80,W,OR,37.985094,-122.315756,0.0001985640896412,2,08b3fc209af528c0aceaa74d61934006,3004397,3057650,4004322,3004397_3057650
407290,4,80,W,FR,37.839668,-122.297004,0.001840858100176,1,497444262033963896b3261d9ffb9ceb,2538202,2530415,3048908,2538202_2530415
407291,4,80,W,OR,37.877407,-122.307241,0.0026712854745619,1,aadc8d27204b84278760b55e967150c7,2557981,2580846,3113479,2557981_2580846
407293,4,80,W,OR,38.021623,-122.26336,0.0008617352629626,1,98cd3e70b79f17ba0cec5feef1bcb1b9,3060055,3068417,4075980,3060055_3068417
