line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
15__191_AM_d1_s477,AMTRAK/BART Pleasant Hill,0,47.25,42,o,80.0,15
15__192_AM_d0_s478,AMTRAK/BART Concord,0,31.5,42,o,120.0,15
15__192_AM_d1_s479,AMTRAK/BART Concord,0,31.5,42,o,120.0,15
17_alliance_705_AM_d0_s2146,So. San Francisco-Centennial Towers BART/Caltrain,0,67.5,14,o,40.0,46
17_alliance_706_AM_d0_s2147,So. San Francisco-Oyster Pt BART,0,79.41176470588235,14,o,34.0,46
17_alliance_707_AM_d0_s2149,So. San Francisco-Oyster Pt Caltrain,0,79.41176470588235,14,o,34.0,46
17_alliance_708_AM_d0_s2153,So. San Francisco-Oyster Point Ferry,0,45.0,14,o,60.0,46
17_alliance_709_AM_d0_s2154,So. San Francisco-Utah/Grand BART,0,90.0,14,o,30.0,46
17_alliance_710_AM_d1_s2155,So. San Francisco-Utah/Grand Caltrain,0,79.41176470588235,14,o,34.0,46
17_alliance_711_AM_d0_s2157,So. San Francisco-Utah/Grand Ferry,0,33.75,14,o,80.0,46
17_alliance_711_AM_d1_s2156,So. San Francisco-Utah/Grand Ferry,0,11.25,14,o,240.0,46
17_alliance_712_AM_d0_s2132,Brisbane-Bayshore Caltrain,0,33.75,14,o,80.0,46
