"maz","maz_0veh_hhs","rounded_maz_0veh_hhs"
10001,2.80542986425339,3
10002,2.89592760180995,3
10003,3.92452830188679,4
10004,1.64395604395604,2
10005,7.95052083333332,8
10006,9.85416666666668,10
10007,10.6797312430011,11
10009,1.94176931690929,2
10012,36.149377593361,36
10017,0,0
10018,0,0
10021,0.986301369863014,1
10022,8.52300242130751,9
10023,0.469333333333333,0
10024,11.1234567901234,11
10025,15.8559782608696,16
10030,36.582726326743,37
10038,470.417663293469,470
10039,10.4655737704918,10
10044,4.55495103373232,5
10045,5.2480957562568,5
10047,10.0413223140496,10
10048,15.592867756315,16
10049,7.42028985507248,7
10052,10.8248847926267,11
10053,5.24712643678162,5
10054,13.8333333333333,14
10055,4.15607985480945,4
10056,41.186046511628,41
10060,0,0
10062,9.53694581280786,10
10063,8.80349344978169,9
10064,0,0
10065,2.23728813559322,2
10071,2.25732899022801,2
10072,1.66612377850163,2
10073,1.79217273954117,2
10074,18.7951807228916,19
10075,17.710843373494,18
10076,1.26506024096386,1
10077,11.7525773195877,12
10078,0,0
10079,144.805519053876,145
10084,23.5675675675676,24
10086,0,0
10087,0,0
10094,19.5865384615385,20
10098,18.7912087912088,19
10099,8.23567921440261,8
10101,4.63519313304721,5
10102,7.32924693520142,7
10104,20.4890282131662,20
10107,63.5443037974685,64
10109,50.7516679021498,51
10110,144.909426987061,145
10111,69.7646153846155,70
10112,76.1258278145697,76
10114,3.0541237113402,3
10116,3.47938144329897,3
10117,66.1077199281868,66
10119,15.0125786163522,15
10122,7.8,8
10123,0,0
10124,3.60381355932203,4
10125,8.0656779661017,8
10127,68.1504672897199,68
10128,108.315449577745,108
10130,0,0
10133,5.57142857142856,6
10137,155.880634390651,156
10138,75.1436135009927,75
10140,58.25,58
10141,37.4158607350098,37
10142,55.044487427466,55
10143,71.4179104477611,71
10144,0,0
10147,12.5585585585585,13
10150,8.94004282655247,9
10151,0,0
10153,0,0
10157,67.1149789029535,67
10159,0,0
10160,32.0618982118294,32
10161,31.3892709766163,31
10162,59.9393939393939,60
10163,30.5496031746032,31
10164,17.1256684491979,17
10165,26.5945945945946,27
10167,28.0717344753748,28
10168,47.9874608150471,48
10169,3.17067833698031,3
10170,0,0
10172,70.0522875816994,70
10173,49.5737963693765,50
10179,31.2980769230769,31
10180,11.3076923076923,11
10181,6.29151291512915,6
10184,1.12113402061856,1
10185,16.4329268292683,16
10186,0,0
10187,14.622641509434,15
10190,7.97674418604653,8
10192,3.11666666666667,3
10193,7.29001584786054,7
10194,3.4873417721519,3
10195,3.74647887323944,4
10197,8.88515406162465,9
