station,district,route,direction,type,year_of_coordinates,latitude,longitude,shstReferenceId,model_link_id,A,B,station_unique_lat_long_pairs,station_distance_moved_ft
400000,4,101,S,ML,2017,38.081498,-122.547963,df209cac09d05a2f7e0a22dc8e931df8,8029515,5014656,5009642,2,158.4002225057006
400001,4,101,N,ML,2015,37.364085,-121.901149,b884a990917d6d09cb42cf2241b25fea,2196953,2144635,2119598,1,0.0
400002,4,101,S,ML,2014,37.584097,-122.328465,dfd26b2508d008ad867b43ce2eae005f,1066084,1545450,1512814,1,0.0
400005,4,80,W,ML,2007,37.954132,-122.3289,f278b4aca20da2c831169c28f84d7620,4120358,3021213,3036831,1,0.0
400006,4,880,S,ML,2015,37.605003,-122.065542,a76e5d7afe487513999d25dd5f29c474,3111133,2584626,2592869,1,0.0
400007,4,101,N,ML,2015,37.586936,-122.337721,f0ab25b75d0563e92800b467fc5cc70c,1071141,1547190,1512153,1,0.0
400009,4,80,W,ML,2015,37.864883,-122.303345,3fe69a55506d7a078c327d075af084c8,3042551,2539284,2571990,2,364.6788716460958
400010,4,101,N,ML,2015,37.629765,-122.402365,fc872dae8531556b633ab239c5534480,1074650,1544865,1522445,2,2276.489583018838
400014,4,101,N,ML,2012,37.245818,-121.775473,58fd6e7db30cc4e0f7b6f7c9cfdc3222,2095222,2083666,2164518,1,0.0
400015,4,84,W,ML,2015,37.534901,-122.076575,41c86080bbf3294b9eec60be84671f24,3043778,2540313,2578728,1,0.0
400017,4,85,S,ML,2006,37.253303,-121.94544,0a9859448e078a5bc2df5a32a1a539ad,2011350,2011374,2035230,1,0.0
400025,4,680,N,ML,2017,37.892272,-122.06331,cbafb368a783911c019011e46198861b,4101132,3072225,3043587,2,192.81736779167144
400026,4,580,E,ML,2015,37.809611,-122.246363,0c95b5edb4efa755ad0e5fad2d1408fe,3008376,2508400,2579563,2,577.2684001212449
400027,4,80,E,ML,2015,37.914241,-122.317388,b45936cc1a7339732450074ae6096e92,4089555,3043503,3070652,1,0.0
400028,4,280,N,ML,2009,37.649733,-122.451962,488e6ac8b31d77f39addc7cc59115539,1021171,1519415,1504573,1,0.0
