station,district,route,direction,type,year_of_coordinates,latitude,longitude,shstReferenceId,model_link_id,A,B,station_unique_lat_long_pairs,station_distance_moved_ft
400030,4,880,S,ML,2015,37.359087,-121.906538,f5c2856eec20021604ef722e49ce7ca8,2262339,2144532,2095749,1,0.0
400031,4,580,W,ML,2015,37.787056,-122.196191,061874fa2e319e9508c5466b2feb5a6a,3004068,2504120,2558744,1,0.0
400035,4,880,S,ML,2007,37.638975,-122.089798,b124e3c67a04d535d975dff2fb5692f4,3117607,2588930,2586430,1,0.0
400036,4,580,W,ML,2006,37.917369,-122.328803,de077dfe189e9366b073740f14150aae,4110256,3075832,3049807,1,0.0
400037,4,680,S,ML,2015,37.943971,-122.058927,e709d0778c016ab450cb6ebcdb5bd44c,4114612,3077330,3017804,2,212.58895171689528
400038,4,880,S,ML,2017,37.622701,-122.078223,098dab157810523cd5be0074d408e28d,3006323,2506360,2559510,1,0.0
400039,4,101,N,ML,2015,37.637025,-122.404035,cb2974285ee8c4091bf6f05394bfe759,1059979,1522445,1543386,2,740.97478716242
400040,4,87,S,ML,2015,37.294625,-121.873166,a58a4553e809acc91bd19248f346a14b,2176972,2081029,2156955,2,119.35127505328371
400041,4,880,N,ML,2015,37.633535,-122.085656,e0c1a04c0666191b9c20e85fe89ec664,3149313,2570164,2518805,1,0.0
400043,4,101,S,ML,2015,37.753591,-122.403092,6d8b2509ddc5a1a71b55ff5b569e136a,17604,1014653,1014389,1,0.0
400044,4,680,S,ML,2015,38.116791,-122.106303,96290e0433c72e15546102b3804793f3,5036017,3519261,3519570,1,0.0
400045,4,880,N,ML,2015,37.363402,-121.902233,ae5ea28d4d82d26ccb2d5a2bb46ca485,2186282,2139601,2143673,1,0.0
400047,4,101,N,ML,2005,37.942669,-122.515259,5940632e043e7f2ebf11425883d973d9,8011691,5010375,5011381,1,0.0
400048,4,24,E,ML,2015,37.86726,-122.199105,c6b33427d4612ee165e6b6ce681c1113,4098630,3040879,3003567,1,0.0
400049,4,4,E,ML,2015,38.015508,-121.992782,31dcf6d961e8d70a0aed5c02b695e7ba,4024722,3023480,3009806,3,577.7185347924744
400050,4,238,N,ML,2015,37.688984,-122.114253,d48b8bdf573ecbf9f9684f413957ef78,3141189,2599317,2532191,1,0.0
400052,4,85,N,ML,2015,37.255791,-121.875479,3083571b723048cf79bbc8ac2ae47dcf,2051959,2048905,2156128,1,0.0
400053,4,680,S,ML,2013,37.862379,-122.034414,b5478787efcb588946ca14a6945e0d2f,4089977,3066914,3009569,1,0.0
400057,4,880,N,ML,2015,37.335022,-121.935522,32b4aac446361164de4eafdabd39b42a,2054271,2050895,2123660,1,0.0
400059,4,85,S,ML,2015,37.250481,-121.907735,a73ab2696f284cd921845fe842b222b2,2178705,2011169,2136369,1,0.0
400060,4,80,W,ML,2015,37.87181,-122.305549,9a035e0ca2b93de40510f53e0eccf2a4,3102348,2580846,2539284,2,312.9771628688322
400065,4,87,S,ML,2015,37.32044,-121.890471,28d4d956f75454a8c4ad2894336ebcee,2043682,2041655,2130352,2,77.16017191263585
400067,4,880,S,ML,2015,37.597694,-122.060285,fd8ded051694699febf295e72a6e77da,3168274,2608333,2505019,1,0.0
400069,4,101,S,ML,2015,37.385758,-121.977493,7dc48aa303c48fb6eea805245d5af370,2134467,2110737,2082683,1,0.0
400071,4,92,W,ML,2015,37.567395,-122.26939,f4a5899c76c86494f9d98a657bc46382,1072290,1547569,1513738,1,0.0
400073,4,17,S,ML,2015,37.2563,-121.955559,dc0cca94d658a064035a8a59099fb208,2234832,2045107,2132137,1,0.0
400074,4,80,W,ML,2017,38.108307,-122.22977,134a59534c7c382dff3272ee7f3c8ea5,5004616,3504624,3538601,1,0.0
400075,4,580,E,ML,2017,37.82576,-122.275143,fc97b5bec0a1fcbb12b4a368a0ccfb43,3167602,2555734,2530695,1,0.0
400078,4,680,N,ML,2014,37.913307,-122.066752,992bd6db93e406f66531b96063a89987,4076162,3060168,3044735,2,248.0224080576661
400079,4,80,W,ML,2015,37.904377,-122.313309,5c31a0c1729cd20dca4358440559f6b5,4045846,3040525,3009659,1,0.0
400081,4,80,E,ML,2007,37.954251,-122.328788,6e6ffb07cce3ceb9e67079ba89dcfc7f,4054968,3011756,3065660,1,0.0
400082,4,80,E,ML,2015,37.980187,-122.317007,1eaba0fd38dff784c7f9d7c82d6fe4e9,4015106,3014801,3007785,1,0.0
400083,4,24,W,ML,2015,37.839128,-122.264826,542d17fc1bf95bc2077b69718c8ef1ce,3055984,2550069,2547676,2,115.1633176128566
400084,4,280,S,ML,2015,37.329258,-122.012053,13fbe0d75f54cb0b7047065393d66e57,2021506,2021211,2131393,1,0.0
400085,4,85,S,ML,2017,37.255594,-121.87471,9d95dc99d1d5cf40c2e84c80c7eec028,2168383,2130456,2140651,1,0.0
400086,4,880,N,ML,2008,37.650067,-122.097325,ccdf155075928341cc46d6eda7ee4b2b,3136237,2597353,2532210,1,0.0
400090,4,680,N,ML,2012,37.819048,-121.993114,a0b1025c719aaa4e0d1f7ff24d62a940,4079820,3029180,3053388,1,0.0
400091,4,880,S,ML,2006,37.70723,-122.162087,6783f204dbf37aa29b6ab3a733d5a2ae,3068866,2559597,2549693,1,0.0
400093,4,880,S,ML,2017,37.811953,-122.303779,34c3e1154bbcf2d6e13c700b8d0ade03,3035152,2533063,2584141,1,0.0
400095,4,80,W,ML,2013,37.900816,-122.310886,a175cd5ce61d46642eaee69171c8b4f4,4080191,3009659,3063041,1,0.0
400096,4,237,W,ML,2015,37.418049,-121.972381,1716f462f7e5662391edb5e5e29828f6,2024796,2024318,2145643,2,54.11793620742333
400097,4,85,S,ML,2015,37.279012,-122.010614,f70627e06fb7973698834463ad699aa4,2263700,2022073,2037160,1,0.0
400098,4,101,S,ML,2007,37.588702,-122.359083,78430402f0e1d13185c6afffd6adae54,1035454,1529850,1545450,1,0.0
400100,4,17,S,ML,2017,37.295052,-121.938872,8fe1f924dfdb02123fedc98e18bae1bd,2153816,2105494,2028312,1,0.0
400101,4,24,W,ML,2015,37.872945,-122.189548,1b8b9c7b874c548ff1137a139614b62b,4013623,3013425,3022102,1,0.0
400103,4,24,E,ML,2015,37.839085,-122.26443,9dfe4c723bbb8a6fba2e64765b84735f,3105003,2560735,2575245,2,115.1633176128566
400104,4,237,E,ML,2015,37.419313,-121.95548,d2d9b754d6f83429f039ddb0278859a3,2225072,2023161,2018366,1,0.0
400105,4,680,S,ML,2015,37.77936,-121.976464,0857925213f8f49dcab09c65d1dbf102,4004151,3004224,3069148,2,9.864428770295111
400106,4,101,S,ML,2017,37.586325,-122.332169,dfd26b2508d008ad867b43ce2eae005f,1066084,1545450,1512814,2,572.5906889024418
400107,4,101,N,ML,2013,37.550467,-122.293264,428160dff20b9cc2022e40e343880ff1,1019418,1518005,1528938,1,0.0
400108,4,17,N,ML,2015,37.190197,-121.992771,ff8f4bf33f498176b2a6e2fe4d078ff4,2272958,2149422,2135323,1,0.0
400109,4,101,S,ML,2014,37.362706,-121.889426,b638c32df10b558df568f0ec0b5c5aa9,2194575,2015578,2145422,1,0.0
400110,4,680,S,ML,2015,37.951643,-122.055554,e709d0778c016ab450cb6ebcdb5bd44c,4114612,3077330,3017804,2,225.25440942619844
400111,4,580,E,ML,2015,37.70141,-121.888557,4adb195680ebf70c19a79893753d00a4,3049870,2512283,2570443,1,0.0
400112,4,242,N,ML,2017,37.998096,-122.038232,9e605e24590b51da53f8aa1e3428a03a,4078675,3061575,3058039,1,0.0
400113,4,80,W,ML,2013,37.932553,-122.326013,613afe87ee6b14b7235fcecbd1c4ae2a,4048465,3042458,3052344,1,0.0
400114,4,680,S,ML,2007,37.970127,-122.059512,e747aa7545e3f988e3869b3d2c7e5217,4114714,3077367,3032602,1,0.0
400115,4,238,S,ML,2015,37.688688,-122.114306,5a3e53be7a9eda8c763274907f0dbbe8,3059927,2553071,2579170,1,0.0
400116,4,101,S,ML,2015,37.634035,-122.403213,de5839cde1e16bbac638045817fb0fe3,1065617,1544501,1527163,2,217.49433244388703
400118,4,680,N,ML,2015,37.780195,-121.976672,8586c0f7aafaa58d1c5afcd9c9da6b0d,4066358,3054434,3075566,2,21.487532898123163
400122,4,880,N,ML,2015,37.36614,-121.901132,32c5a85ffe924ef1c3c8b1a1d1265543,2054355,2050962,2065339,1,0.0
400124,4,80,E,ML,2015,38.037879,-122.248062,fbe357501dd5a3af4eb1a863fe5bd7ec,4125035,3080527,3043909,2,456.99104649697443
400125,4,101,N,ML,2017,37.61875,-122.399021,f8a87bd6670d3e137106cb5aca714ec9,1073472,1547936,1547976,2,636.7495622509113
400126,4,80,W,ML,2015,37.856366,-122.301014,83d38bc991c21d7deb1b3347bf47828e,3087470,2571990,2583037,1,0.0
400127,4,84,E,ML,2015,37.516003,-122.106861,c92942e21cd829343976bdda1180b4f3,3133722,1542789,2598953,1,0.0
400128,4,80,W,ML,2015,38.084974,-122.233096,568799264c2c5e02b95de5b95deb98ea,5020814,3518583,3539011,2,52.34932486910916
400132,4,85,N,ML,2015,37.243208,-121.806387,e81504d73a6462421495eb3ce67a295e,2247653,2163984,2161868,1,0.0
400134,4,880,S,ML,2017,37.731787,-122.188781,266694ee2ab93093139026ef2d85ce48,3025549,2524595,2585305,1,0.0
400137,4,880,N,ML,2015,37.54653,-122.022581,935aedd4c5de8c1d2dbdad6288b7b9bb,3097926,2578287,2555262,1,0.0
400138,4,101,S,ML,2015,37.31631,-121.829714,b755acc99a2226c67e165ba48a92fbe5,2195753,2092305,2166367,2,370.03692917351333
400141,4,880,N,ML,2015,37.523522,-121.989607,7452bfeb33badc685ef9cdb09fcea3df,3077176,2565288,2583816,1,0.0
400142,4,101,N,ML,2006,37.962512,-122.510301,d1eb519279756dd345320f2992ecbeea,8027772,5001541,5004391,1,0.0
400143,4,101,S,ML,2015,38.074388,-122.541483,df209cac09d05a2f7e0a22dc8e931df8,8029515,5014656,5009642,1,0.0
400145,4,85,N,ML,2015,37.251693,-121.838501,959d67f15ff9257737554d5fdf846f1f,2160011,2125843,2109706,1,0.0
400146,4,880,S,ML,2006,37.680405,-122.123301,a7aa1f9c26a38e0797d508e12da7d62d,3111287,2585698,2532969,1,0.0
400147,4,880,N,ML,2017,37.34221,-121.926305,0748bb7024259878d30ccbddf49603b7,2007804,2007861,2051291,1,0.0
400148,4,85,N,ML,2015,37.250664,-121.912479,87b35ae5c8db5ba82ae233d566251984,2145016,2117175,2118314,1,0.0
400149,4,101,S,ML,2015,37.4118,-122.077964,320441aef7094c48f150c72e6a82ce36,2053563,2050282,2063246,1,0.0
400150,4,680,N,ML,2015,37.873161,-122.043593,43c8b0271968a33fd2f95500d7ad931b,4033582,3030943,3061823,2,183.0619787240341
400152,4,680,N,ML,2017,37.805463,-121.990262,dc99d6217067b4ade6a1284280d2e1aa,4109549,3075566,3023623,2,27.72576053371937
400153,4,580,E,ML,2017,37.700927,-121.826692,b4e09eb18c43aee9f5d9ce4aea9914ea,3120154,2590205,2562260,3,948.231921644079
400154,4,17,N,ML,2015,37.226342,-121.975157,bf6df39d5a23a8f634be172042031dcf,2204383,2122781,2132829,1,0.0
400156,4,280,N,ML,2006,37.727079,-122.445019,6640951f513c2cddcea016cfa7eb9994,16498,1013927,1007471,1,0.0
400158,4,237,W,ML,2015,37.421059,-121.93678,5f1fc75b1b97af03030c1bc6209cf515,2101822,2088516,2162984,1,0.0
400160,4,101,S,ML,2015,37.348392,-121.860589,dfaa6d283c2992ce8a6a4e25b7cbd36b,2238679,2161047,2052922,1,0.0
400162,4,92,W,ML,2017,37.552538,-122.307782,77fd17b370a22347be9f3f8b0ac87190,1035383,1502993,1517475,2,107.48026450060277
400164,4,84,W,ML,2017,37.530179,-122.093116,9481f79e269720b0db0b493966faeb4f,3098698,2578728,1528324,1,0.0
400165,4,880,N,ML,2007,37.639068,-122.089608,1cffe48cd2709bf4a5767763f16ffc04,3019250,2518805,2562407,1,0.0
400166,4,92,E,ML,2006,37.512598,-122.33003,b685c3ec97d2c286b9be5f65e0d7df6b,1053898,1540321,1533434,1,0.0
400168,4,101,N,ML,2015,37.391166,-121.995524,863ccab853b0d56fffe02fe173dbbfe9,2143399,2116182,2151489,1,0.0
400169,4,680,S,ML,2015,37.871257,-122.042369,c773061dde7a4a73dcde55885c251e2b,4098995,3071355,3066914,2,194.20961399741495
400170,4,80,W,ML,2005,38.116679,-122.230224,7a6828e457aeb75604b97159b9868dad,5029399,3524667,3504624,1,0.0
400171,4,24,E,ML,2014,37.891457,-122.152067,4ef5185e2793431fb6ca54e093f5d4e1,4039157,3019432,3011100,1,0.0
400172,4,101,S,ML,2015,37.376264,-121.939712,fdb0f8fb4769ae94fbdf0b1b2e88f6d3,2270971,2075041,2060268,1,0.0
400173,4,101,S,ML,2006,37.445696,-122.119856,93fec1ad87da4a6194773aede1a25f7a,2158245,2124842,2117841,1,0.0
400174,4,85,N,ML,2015,37.403686,-122.06976,ee16241ed18584ff20d9b1b207037d1b,2253966,2102510,2003516,1,0.0
400176,4,80,W,ML,2015,37.866963,-122.303994,3fe69a55506d7a078c327d075af084c8,3042551,2539284,2571990,3,375.42535227557534
400178,4,87,N,ML,2015,37.276988,-121.863502,0b612c4cb50bc65e9357b837cd2d84b3,2012177,2012193,2017657,2,70.47563852227387
400180,4,880,N,ML,2015,37.674405,-122.114201,9a83dfe7fbaf4a38ad479970620c9020,3102681,2581015,2529181,1,0.0
400181,4,101,N,ML,2017,37.244125,-121.772528,1d6c62f9d299b8d1df4c4d5c8f19cca1,2031532,2012163,2083666,1,0.0
400182,4,80,E,ML,2006,37.925458,-122.320648,7fd7f8e275dbfef0fcebf3a3fb0df2ca,4063603,3052726,3059602,1,0.0
400183,4,101,N,ML,2015,37.689942,-122.390669,8871dac538f768ed5c76f7f7995842d1,1040116,1532818,1518165,1,0.0
400184,4,680,N,ML,2015,37.964604,-122.055102,1eb5280d00b9f7c20fb03ba826fe7606,4015126,3014822,3074965,2,788.8044111488605
400185,4,85,N,ML,2017,37.303131,-122.034527,b11de6291c9abf57ed7c903d4bb00881,2189176,2019159,2088000,1,0.0
400186,4,880,S,ML,2015,37.572471,-122.046218,4664a8df86638372f67f52838dd8b8bb,3046843,2542831,2545985,1,0.0
400189,4,880,N,ML,2015,37.493107,-121.948928,1a20055d9c41d9acabf571fcd25452db,3017390,2517054,2547652,1,0.0
400190,4,880,S,ML,2015,37.771395,-122.223163,2851096bfd261fea7b350d11c05ff8b3,3026833,2525749,2598453,1,0.0
400192,4,880,S,ML,2010,37.71565,-122.173379,22b50751b66dc75cb3a59e0c7599c17c,3022967,2522257,2536296,1,0.0
400193,4,680,S,ML,2015,37.935406,-122.060387,b5f9b226e96aca7e3ef673eb02f76b85,4090312,3067446,3008954,2,55.458239096106524
400195,4,101,N,ML,2017,37.321278,-121.834098,d8ac5bdc383a0c96b269208463bb3684,2231280,2158513,2168867,1,0.0
400197,4,24,E,ML,2015,37.895088,-122.112962,f9448b3630e82b02a2a07a5eeeb3eae9,4123751,3014587,3059613,1,0.0
400201,4,237,W,ML,2015,37.419186,-121.962831,1be04b92f79c191d50da317210c87f0b,2029841,2029063,2160712,1,0.0
400202,4,580,E,ML,2015,37.92135,-122.337615,2a1cb280f4d3f9d9657a47e41607d2dc,4020835,3020053,3067391,1,0.0
400203,4,580,E,ML,2015,37.822145,-122.259965,81bcce3f2aabb81c00a58ca951b89ea4,3086057,2571095,2602910,1,0.0
400204,4,84,W,ML,2015,37.521657,-122.102892,9481f79e269720b0db0b493966faeb4f,3098698,2578728,1528324,1,0.0
400205,4,101,S,ML,2006,37.469009,-122.155579,a3c0161c9bf01a79d5ae827f2e288ed2,1048332,1537503,1535253,1,0.0
400206,4,101,S,ML,2015,37.381356,-121.96211,80637497fe13bf6ecad259dfb0e28576,2137233,2112441,2168092,1,0.0
400207,4,680,N,ML,2017,37.827979,-121.998142,c059cfe07172e5273baeead59fb18932,4095497,3069870,3043223,2,145.2136419803051
400208,4,680,S,ML,2015,37.922169,-122.061722,d14b35e98919c0d8752252b4e5ab146d,4103852,3073337,3016470,2,31.117052416660034
400209,4,85,S,ML,2015,37.319961,-122.049031,bafa87b24b37d066d1059e86cd947f4e,2199587,2145796,2118051,1,0.0
400211,4,680,N,ML,2013,37.889123,-122.057695,bcd1613106f9c7b3440f05840afd4225,4093735,3061721,3013714,1,0.0
400212,4,680,N,ML,2015,37.75546,-121.962333,f1c529d2b90c7f2a94f3bf2f6130c235,4120008,3079048,3042537,2,29.510494584719577
400213,4,85,S,ML,2015,37.259192,-121.967128,1178f83ef0d76570da88b0a4c3de3abd,2018831,2018639,2033326,1,0.0
400214,4,101,N,ML,2015,38.076333,-122.54237,983a9a58527835db763c3c9d2ce025e0,8020025,5012842,5019691,2,1546.1293884059473
400216,4,580,E,ML,2015,37.919642,-122.332292,2a1cb280f4d3f9d9657a47e41607d2dc,4020835,3020053,3067391,1,0.0
400218,4,880,N,ML,2015,37.803542,-122.301498,93a3f44173959f51c9a5c5f7b3f4db5a,3098119,2578391,2572562,1,0.0
400221,4,17,N,ML,2015,37.293614,-121.937899,f0948f451c0b889ea10adadf3a8f5d9f,2256657,2139320,2008080,1,0.0
400222,4,85,N,ML,2015,37.275395,-122.004702,6f267efdb97ea9e511652e2ffeb81eeb,2118943,2100581,2137801,1,0.0
400223,4,101,S,ML,2015,37.208606,-121.722043,878824107e383733904799cede647ddd,2144825,2117056,2135620,2,52.52404354180372
400224,4,24,W,ML,2015,37.835531,-122.266013,542d17fc1bf95bc2077b69718c8ef1ce,3055984,2550069,2547676,1,0.0
400225,4,880,S,ML,2015,37.689656,-122.136588,c85dff9820c176ad891f9021244d8a95,3133219,2549693,2501180,1,0.0
400227,4,101,N,ML,2015,37.377237,-121.943586,827f3f8c4d8fbb4f62a29d0afd2eca39,2139434,2113784,2080044,1,0.0
400228,4,880,S,ML,2017,37.71769,-122.175415,c84fe01cab07fc52faac7854b66cf94b,3133175,2596107,2522257,1,0.0
400231,4,280,S,ML,2015,37.762469,-122.392743,2fc7780cd4e0fa000fb85257e0dd4597,7638,1007176,1018272,1,0.0
400232,4,680,N,ML,2010,37.46898,-121.907492,8856f30c0d98a7118449937e88ee51bd,3090532,2051806,2583659,1,0.0
400233,4,101,N,ML,2005,37.319211,-121.832097,8e0bdeab101df8ca87c4c514c38505c0,2151778,2001474,2158513,1,0.0
400235,4,80,W,ML,2015,38.030242,-122.255308,7b80b9e43d552ba8283aaa0141b990df,4061395,3051327,3060055,3,1899.896758060689
400236,4,87,S,ML,2015,37.325105,-121.893262,4bc5c34c8f6d6a180572cc1a8d55334c,2081136,2007617,2083127,2,87.92441025360255
400237,4,101,N,ML,2017,37.210372,-121.723483,b0bb12f4a40fe502acd019ed3e761888,2188745,2140788,2134570,3,67222.57055007617
400238,4,880,S,ML,2015,37.413256,-121.912324,2f7967cee0c131a7f9c64bc376e4041e,2050795,2047872,2133190,1,0.0
400240,4,17,N,ML,2009,37.258184,-121.953853,8413d0a8654c6c3d08fda936fc060967,2141073,2114799,2004375,1,0.0
400242,4,880,S,ML,2015,37.824311,-122.291457,6c1d84d6396e54b6dee69dc657283878,3071853,2561635,2533063,1,0.0
400245,4,80,E,ML,2012,38.023633,-122.261248,5471f14ba73e1ba5ed31071b433972f6,4041875,3037545,3080527,2,5262.589580245076
400246,4,101,N,ML,2015,37.38562,-121.976214,9ee8bdf8bfa4477f03731c433a709d3f,2169886,2012122,2116866,2,1000.8751649612511
400248,4,880,S,ML,2015,37.546915,-122.023163,dba700affd1323084470fcf877ed3d47,3145988,2594883,2518154,1,0.0
400249,4,880,N,ML,2015,37.506892,-121.966671,ab478371c9bd1c20141f949a121f7c24,3113758,2585987,2554752,1,0.0
400251,4,24,E,ML,2015,37.893156,-122.123812,f9448b3630e82b02a2a07a5eeeb3eae9,4123751,3014587,3059613,1,0.0
400252,4,880,N,ML,2015,37.687544,-122.133225,1bb17adc45c21ad17d07cb32ff987bf2,3018364,2517971,2581638,1,0.0
400253,4,880,S,ML,2007,37.342957,-121.925721,9a03c4f12bb1e4d962c6e9a10f39e5de,2164640,2011700,2125574,1,0.0
400255,4,101,N,ML,2015,37.727662,-122.402599,e00177c33aa84e4fda432f7e120dada8,35773,1021899,1001708,1,0.0
400256,4,880,S,ML,2008,37.649947,-122.097592,722efaed901cafd12dd6f0e38ab52a49,3075777,2564348,2521205,1,0.0
400257,4,87,S,ML,2014,37.29173,-121.871969,d49b4c0be5171bf09ed203c603f95f33,2226922,2156955,2142384,1,0.0
400258,4,87,N,ML,2015,37.313568,-121.886074,7760605169f8f357662289487925e29d,2127649,2106310,2065570,2,52.62143606585231
400260,4,101,N,ML,2015,37.706585,-122.394455,b958a1373a6c1ce3a73a6452ad1ddb96,1054717,1518165,1520711,2,1288.8072757145421
400261,4,580,E,ML,2015,37.805061,-122.234851,3fa5e04fc9157fee11c7e44954648e6c,3042365,2538461,2554993,1,0.0
400263,4,101,S,ML,2015,37.573665,-122.317153,96f237808f63a496546f24317aa74a92,1044448,1535332,1524013,2,317.6412994053748
400264,4,101,S,ML,2017,37.413855,-122.082578,4746a657695276f54d1199e9e73a8331,2076396,2069159,2047781,1,0.0
400265,4,680,S,ML,2015,38.070185,-122.12636,19ae24a325f60161a1f8d53a770a6c93,5006116,3506065,3529843,2,114.55571772290138
400268,4,85,N,ML,2015,37.255651,-121.858078,47f0cf94ff462f60869c23a230bb3531,2077092,2014430,2143335,1,0.0
400269,4,580,W,ML,2005,37.90599,-122.31874,6489493cdcf40270caf17ae495891545,4050125,3043657,3020979,1,0.0
400270,4,4,E,ML,2015,38.022118,-121.962342,bbb39a745f0f97b88d92953f453091fc,4093163,3068829,3042254,2,47.719217690970694
400272,4,101,S,ML,2017,37.546868,-122.290231,d295650611ca04be9e8e4820c91be339,1062150,1518243,1544336,1,0.0
400274,4,237,W,ML,2015,37.409909,-121.995942,fd494d853431a16afd39ce665bdcc9dd,2270508,2021032,2160915,2,393.2983249302984
400275,4,880,N,ML,2013,37.667821,-122.108348,729cf6dceeef499dbc645530ed645ac6,3076045,2564530,2581015,1,0.0
400276,4,280,N,ML,2015,37.6271,-122.430565,0bfcac88b4dc0c45bf8a2677c9a3709b,1003577,1503577,1528569,2,956.4082932557742
400278,4,17,S,ML,2015,37.266561,-121.948692,c51594fc63509f2d5f281bd6cb1dd7e6,2210410,2045831,2067182,1,0.0
400280,4,87,N,ML,2015,37.262054,-121.858503,cf783adec7befe96e5755c03de17212c,2221544,2131815,2091063,2,27.8809672636466
400283,4,101,N,ML,2017,38.053731,-122.530648,4599644bd2c401a23d121030fd31c24c,8009158,5008385,5006029,1,0.0
400284,4,880,N,ML,2015,37.630267,-122.083308,e0c1a04c0666191b9c20e85fe89ec664,3149313,2570164,2518805,1,0.0
400287,4,680,N,ML,2015,38.116567,-122.106057,6fcf199fa807989167f3910cfe0b2d6d,5026820,3516503,3526218,2,65.63537800937529
400289,4,24,W,ML,2015,37.896274,-122.107979,5d86d06d9d2f3354473d2ccb2d43914f,4046572,3041075,3029152,1,0.0
400291,4,101,N,ML,2015,37.546976,-122.290032,d5b49c441fe5e09076a678c70ecaaa86,1063103,1544295,1535049,1,0.0
400292,4,280,S,ML,2015,37.316378,-121.972052,218ff7bd29a845b4867bed60ab98cac4,2036005,2034723,2020918,1,0.0
400295,4,680,N,ML,2015,38.070032,-122.126275,6da3710a5ac4b30b1b66a3c6363cfa12,5026301,3512788,3538177,2,69.34230177280556
400296,4,237,E,ML,2015,37.420359,-121.93915,9df016b1895c68aab9e27fea53e8d665,2168765,2130657,2044184,1,0.0
400297,4,238,S,ML,2015,37.689523,-122.119266,5a3e53be7a9eda8c763274907f0dbbe8,3059927,2553071,2579170,1,0.0
400298,4,17,S,ML,2007,37.293047,-121.937861,1b1f23a6cd1bfd4b960796573efa164b,2029037,2028312,2116598,1,0.0
400300,4,880,S,ML,2017,37.805659,-122.303914,34c3e1154bbcf2d6e13c700b8d0ade03,3035152,2533063,2584141,2,18272.509854743505
400301,4,80,W,ML,2015,37.998129,-122.285223,ded007549a292997457d284dd3e01f7c,4110622,3008955,3026376,2,536.9538942435297
400302,4,580,E,ML,2015,37.800558,-122.227577,3fa5e04fc9157fee11c7e44954648e6c,3042365,2538461,2554993,1,0.0
400303,4,680,N,ML,2015,37.875017,-122.045018,43c8b0271968a33fd2f95500d7ad931b,4033582,3030943,3061823,2,181.78305024861947
400304,4,101,S,ML,2017,38.069309,-122.538884,6170d300822e8b6491aa349c0616080d,8012825,5011177,5009953,1,0.0
400307,4,242,S,ML,2015,37.997771,-122.03856,1600191cfe57b0c99f327423b1cdd978,4010935,3010873,3036190,1,0.0
400308,4,580,W,ML,2015,37.800758,-122.227469,5de18532cc0dc26ae4891f3a67e1f029,3062363,2554883,2607934,1,0.0
400309,4,880,N,ML,2015,37.495016,-121.951359,4f6d977b711e3d0a53f015ab3b19aa30,3052883,2547652,2533414,1,0.0
400312,4,880,S,ML,2015,37.677442,-122.118925,a7aa1f9c26a38e0797d508e12da7d62d,3111287,2585698,2532969,1,0.0
400313,4,80,W,ML,2015,37.993511,-122.301607,07c1815feab000de951dcf9b0e2062ec,4003865,3003939,3000175,1,0.0
400314,4,92,E,ML,2015,37.552335,-122.307355,215dfb81a0b912111e339e1f978baa79,1009819,1509538,1507616,2,996.5631471321217
400315,4,101,N,ML,2009,37.604259,-122.382765,d8adb330554f50c4953e071953b8e43e,1064004,1543604,1522745,1,0.0
400316,4,101,N,ML,2015,37.639474,-122.405195,ce3b7c51cd62a68f90ffa1a4fc2a200c,1060853,1543386,1537855,2,901.1572987558674
